年份,省份,二氧化碳排放量,,,,,,,,,,,,国内生产总值状况,,,,,,,,,,,,,,,,,,,,,全社会固定资产投资,人口状况,,,
,,煤炭二氧化碳排放量,焦炭二氧化碳排放量,原油二氧化碳排放量,汽油二氧化碳排放量,煤油二氧化碳排放量,柴油二氧化碳排放量,燃料油二氧化碳排放量,液化石油气二氧化碳排放量,天然气二氧化碳排放量,二氧化碳排放总量,人均二氧化碳排放量,二氧化碳排放强度,,,,,,,,,,,,,,,,,,,,,,,,,,
,,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,万吨,吨/人,吨CO2/万元,地区生产总值(亿元),地区生产总值－第一产业(亿元),地区生产总值－第二产业(亿元),地区生产总值－工业(亿元),地区生产总值－建筑业(亿元),地区生产总值－第三产业(亿元),地区生产总值－交通运输、仓储和邮政业(亿元),地区生产总值－批发和零售业(亿元),地区生产总值－住宿和餐饮业(亿元),地区生产总值－金融业(亿元),地区生产总值－房地产业(亿元),地区生产总值－其他服务业(亿元),第一产业占GDP比重(%)(没有单位),第二产业占GDP比重(%)(没有单位),第三产业占GDP比重(%)(没有单位),人均地区生产总值(元),地区生产总值指数（上年＝100）(没有单位),地区生产总值指数－第一产业（上年＝100）(没有单位),地区生产总值指数－第二产业（上年＝100）(没有单位),地区生产总值指数－第三产业（上年＝100）(没有单位),社会消费品零售总额(亿元),,年底人口数(万人),人口出生率(‰)(没有单位),人口死亡率(‰)(没有单位),人口自然增长率(‰)(没有单位)
1990,北京市,4591.2151,662.7924,2059.2835,165.6473,131.1159,148.7594,724.4275,,17.9687,8501.21,7.828,16.975,500.82,43.88,262.39,219.27,43.12,194.55,20.96,48.85,,52.75,4.27,67.72,,,,4635,105.2,103.3,101.1,113.3,307.66,179.2,1086,13.01,5.81,7.2
1990,天津市,3402.0276,392.5261,1224.4781,108.7133,5.9529,228.7032,722.4935,,53.0401,6137.935,6.9434,19.739,310.95,27.32,181.38,165.59,15.79,102.25,30.47,16,,20.34,5.06,30.38,,,,3487,105.4,104.6,101.1,109.3,139.88,87.69,884,15.61,5.78,9.83
1990,河北省,14983.7625,1602.2661,946.4213,282.766,11.2073,423.6497,146.4137,,131.4094,18527.896,3.0083,20.671,896.33,227.89,387.52,354.26,33.26,280.92,46.43,56.98,,70.58,21.69,85.24,25.4248,43.2341,31.3411,1465,105.8,105.7,104,109,380.83,177.21,6159,20.46,6.82,13.64
1990,山西省,14572.7793,2393.304,,207.7913,7.0767,155.9509,39.98,,12.9894,17389.872,5.9986,40.51,429.27,80.81,210.07,186.61,23.46,138.39,24.99,29.07,,37.24,4.08,43.02,18.825,48.9366,32.2385,1528,105,112.6,101.4,108.6,184.22,123.41,2899,22.54,6.56,15.98
1990,内蒙古自治区,7521.3731,672.816,1.8446,98.1115,4.4951,107.0981,80.9746,,,8486.713,3.9236,26.578,319.31,112.57,102.43,87.18,15.25,104.31,20.69,24.92,,20.88,3.93,33.89,35.2541,32.0785,32.6673,1478,107.5,124.4,99.4,103.1,130.58,70.77,2163,21.19,7.21,13.98
1990,中国,200778.6121,19803.0093,35568.8928,5563.0657,1065.7535,8343.7317,10677.6099,789.3418,3301.4725,285891.489,2.5005,15.148,18872.8688,5017.2216,7744.0889,6904.4931,861.6951,6111.5583,1167.2133,1269.1507,301.8562,1144.075,660.9156,1501.6914,26.5843,41.0329,32.3828,1662.5368,103.9203,107.3277,103.1747,102.6687,8300.1,4517,114333,21.06,6.67,14.39
1990,辽宁省,15701.0804,2546.6658,7218.5299,301.8318,18.618,429.2603,2036.6658,,442.0726,28694.725,7.2334,27.002,1062.7,168.6,540.8,482.9,57.9,353.3,83.9,95.4,,72.69,15.15,86.16,15.8652,50.8892,33.2455,2698,100.9,114.5,97,104.8,421.1,262.9,3967,16.3,6.59,9.71
1990,吉林省,7639.3405,412.4302,1421.7336,162.7771,3.8876,159.2987,320.4424,,21.216,10141.126,4.0842,23.846,425.28,124.99,182.15,163.82,18.33,118.14,21.11,25.47,,28.56,6.15,36.85,29.39,42.8306,27.7793,1746,103.4,136.7,97.9,90.7,198.95,93.51,2483,19.49,6.56,12.93
1990,黑龙江省,12399.8959,293.0915,3015.3816,273.3356,7.4715,455.6706,746.5893,,486.453,17677.889,4.9895,24.717,715.2,160.3,362.7,323.9,38.8,192.2,34.5,48,,40.2,11,58.5,22.4133,50.7131,26.8736,2028,105.8,141.8,97.4,97.7,310,162.9,3543,18.11,6.35,11.76
1990,上海市,5217.2034,1296.8312,2504.6885,146.3179,62.3537,308.7091,1376.8847,,,10912.989,8.1623,14.655,744.67,34.24,505.6,469.83,35.77,241.82,62.46,51.84,,68.62,6.2,52.7,,,,6107,103.5,104.3,102.8,105.3,333.86,227.08,1337,10.31,6.64,3.67
1990,江苏省,11840.5021,654.172,2490.1733,266.336,38.4206,556.2901,602.3316,,8.2266,16456.452,2.4319,11.618,1416.5,355.17,692.59,634.13,58.46,368.74,63.64,103.25,,72.53,27.02,102.3,25.0738,48.8945,26.0318,2109,105,101,105.4,106.9,515.43,356.3,6767,20.54,6.53,14.01
1990,浙江省,4730.1122,244.7489,736.8883,170.8311,20.0151,405.3918,324.0251,,,6632.013,1.5912,7.331,904.69,225.04,408.18,363.74,44.44,271.47,45.01,91.86,,44.48,23.91,66.21,24.8748,45.1182,30.007,2138,103.9,102.7,105.2,101.4,353.75,186.96,4168,15.33,6.31,9.02
1990,安徽省,6522.4556,745.645,778.1962,129.1557,25.9681,242.6213,134.3341,,,8578.376,1.5116,13.037,658,246.1,251.5,223.3,28.2,160.4,32.4,43.9,,23.7,15.5,44.9,37.4012,38.2219,24.3769,1182,102.9,104.4,107.1,94.8,226.53,122.98,5675,24.47,6.25,18.22
1990,福建省,2486.8289,154.1924,,115.6837,9.8102,193.0245,49.2379,,,3008.778,0.9907,5.761,522.28,147.01,174.47,150.55,23.92,200.8,48.56,49.53,,34.4,8.31,60,28.1477,33.4055,38.4468,1763,107.7,102.4,108.1,111.4,207.74,115.41,3037,24.44,6.71,17.73
1990,江西省,4311.5182,450.3483,469.0224,123.9133,16.1275,140.8239,74.1263,,,5585.88,1.4661,13.032,428.62,175.96,133.56,116.5,17.06,119.1,25.18,19.74,,27.33,7.63,39.22,41.0527,31.1605,27.7869,1134,104.5,106.4,102.5,105.2,151.94,70.65,3810,24.59,7.54,17.05
1990,山东省,13805.9912,909.3742,3539.1082,362.6316,34.5633,702.5697,787.6473,,312.6116,20454.497,2.4084,13.535,1511.19,425.29,635.98,568.25,67.73,449.92,81.87,132.83,,,,,28.1427,42.0847,29.7726,1815,105.3,105.4,107.2,100.7,460.13,335.66,8493,18.21,6.96,11.25
1990,河南省,11604.5673,664.0239,673.717,254.5919,23.599,425.7265,123.491,,232.2938,14002.01,1.6189,14.981,934.65,325.77,331.85,288.58,43.27,277.03,59.65,58.17,,48.25,23.94,87.02,34.8548,35.5053,29.64,1091,104.5,105.4,102.3,106.8,314.31,206.12,8649,24.92,6.52,18.4
1990,湖北省,6360.7261,1093.4084,1537.8552,323.4749,36.902,513.5129,419.4889,,12.5564,10297.925,1.8933,12.492,824.38,289.45,313.39,284.15,29.24,221.54,37.25,69.35,,33.77,11.36,69.81,35.1112,38.0152,26.8735,1541,105,107.5,99,114.8,326.36,144.44,5439,21.6,7.3,14.3
1990,湖南省,7527.0812,712.3951,974.0606,161.7814,22.9005,274.5493,168.2901,,,9841.058,1.6059,13.219,744.44,279.09,252.49,223.07,29.42,212.86,33.18,64.17,,24.61,16.63,74.27,37.4899,33.9168,28.5933,1228,104,103.2,104.6,103.8,294.92,124.17,6128,23.93,7.23,16.7
1990,广东省,5690.9757,300.1367,2760.7306,414.6746,96.0363,857.7457,1158.9446,,,11279.244,1.7774,7.235,1559.03,384.59,615.86,523.42,92.45,558.58,101.61,152.9,,82.46,42.87,178.73,24.6685,39.5028,35.8287,2484,111.6,107.3,112.7,113.4,667.36,381.47,6346,22.26,5.76,16.5
1990,广西壮族自治区,2972.0174,318.9812,17.7811,97.2036,18.6484,171.8839,25.6176,,,3622.133,0.8501,8.066,449.06,176.77,118.45,104.79,13.66,153.84,20.45,57.53,,19.73,5.18,50.95,39.3645,26.3773,34.2582,1066,107,108.5,106.4,105.8,175.44,68.57,4261,20.2,6.6,13.6
1990,海南省,129.3836,9.1931,,35.0858,3.8572,30.75,1.617,,,209.887,0.3166,2.049,102.42,45.71,20.19,13.17,7.03,36.52,6.21,11.41,,3.96,1.65,13.28,44.63,19.7129,35.6571,1562,110.6,109.2,110.5,112.7,37.19,35.55,663,24.86,6.26,18.6
1990,四川省,12645.3442,1450.6799,50.4403,229.1415,62.4145,224.7975,21.9399,,1245.034,15929.792,1.4744,17.88,890.95,321.41,312.64,276.08,36.56,256.9,48.71,85.12,,29.79,14.56,78.72,36.075,35.0906,28.8344,1134,109.1,106.9,109.5,111.3,339.87,162.66,10804,19.11,7.66,11.45
1990,贵州省,5154.4143,380.9273,,134.9252,14.8823,85.1205,15.1233,,102.6163,5888.009,1.8017,22.634,260.14,100.1,92.83,82.15,10.68,67.21,11.69,18.2,,11.33,3.95,22.04,38.4793,35.6846,25.8361,810,104.3,101.7,106.1,104.6,85.9,51.51,3268,23.09,7.9,15.19
1990,云南省,4174.5238,725.1108,,157.3005,17.7372,107.2841,5.7069,,98.07,5285.733,1.4167,11.703,451.67,168.13,157.8,142.77,15.03,125.74,19.82,40.44,,18.45,6.28,40.75,37.2241,34.937,27.8389,1224,108.7,108.5,109.8,107.1,145.59,75.74,3731,23.6,7.92,15.68
1990,陕西省,5190.5656,281.8937,184.4338,136.1553,24.6317,143.4897,71.0192,,1.5154,6033.704,1.8196,14.924,404.3,105.56,166.95,143.28,23.67,131.79,33.79,25.5,,11.69,6.78,54.03,26.1093,41.2936,32.5971,1241,103.4,105.3,101.8,105.2,159.67,103.72,3316,23.48,6.52,16.96
1990,甘肃省,3535.2166,254.1711,1432.8619,108.3033,9.4153,119.5283,198.4416,,5.6287,5663.567,2.5116,23.326,242.8,64.06,98.33,83.93,14.4,80.41,12.01,30.64,,11.3,0.9,25.56,26.3839,40.4984,33.1178,1099,105.6,105,105.4,106.5,96.16,59.35,2255,20.68,6.2,14.48
1990,青海省,896.1717,7.3602,95.6794,36.5795,3.0372,29.1381,33.9878,,8.4431,1110.397,2.4786,15.876,69.94,17.67,26.89,21.23,5.66,25.38,4.1,7.06,,4.35,0.43,9.44,25.2645,38.4472,36.2882,1558,103.7,104.2,102.2,105.5,28.72,22.25,448,24.34,7.47,16.87
1990,宁夏回族自治区,1683.8895,59.7982,35.1389,28.9356,1.0023,27.9912,75.1409,,1.5154,1913.412,4.0711,29.51,64.84,16.84,25.34,21.29,4.05,22.66,3.49,5.32,,5.57,0.5,7.78,25.9716,39.0808,34.9476,1393,103.7,103.4,102.5,105.3,25.3,21.96,470,24.34,5.52,18.82
